REVIEWER_URL,REVIEWER_NAME,RAW_HOME_LOCATION,CLEANED_HOME_LOCATION,NUMBER_OF_CONTRIBUTIONS,HELPFUL_VOTES,REVIEWER_UPDATED_TIME
https://www.tripadvisor.com.sg/Profile/diinslc,diinslc,"North Salt Lake, Utah",,538,273,2020-01-16 18:34:56.929735
https://www.tripadvisor.com.sg/Profile/AirFuss,AirFuss,"Singapore, Singapore",,647,11,2020-01-16 18:34:57.530087
https://www.tripadvisor.com.sg/Profile/IanK2174,Ian K,,,7,1,2020-01-16 18:34:58.016102
https://www.tripadvisor.com.sg/Profile/danae_mily,danae_mily,"Athens, Greece1,",,402,910,2020-01-16 18:34:58.483607
https://www.tripadvisor.com.sg/Profile/minnesotans4,minnesotans4,"Saint Paul, Minnesota2,",,442,874,2020-01-16 18:34:59.016851
https://www.tripadvisor.com.sg/Profile/Kevin_Mumbai,Kevin_Mumbai,"Navi Mumbai, India",,215,44,2020-01-16 18:35:03.114347
https://www.tripadvisor.com.sg/Profile/richardhayes2,richardhayes2,"Bodmin, United Kingdom",,16,7,2020-01-16 18:35:03.496383
https://www.tripadvisor.com.sg/Profile/sdsimmons1,sdsimmons1,"Sarasota, Florida",,68,11,2020-01-16 18:35:03.936960
https://www.tripadvisor.com.sg/Profile/JoeGoGoGo,JoeGoGoGo,"Rufford, United Kingdom",,65,18,2020-01-16 18:35:04.625278
https://www.tripadvisor.com.sg/Profile/paulchickensoup,Mr Chan,"Hong Kong, China",,12,,2020-01-16 18:35:05.183844
https://www.tripadvisor.com.sg/Profile/andy19283,Andy,"Birmingham, United Kingdom",,3,,2020-01-16 18:35:20.531252
https://www.tripadvisor.com.sg/Profile/Serial_Traveller,Serial_Traveller,London,,185,433,2020-01-16 18:35:20.929130
https://www.tripadvisor.com.sg/Profile/colsktm,CP_NZ,"Palmerston North, New Zealand",,9,4,2020-01-16 18:35:21.507338
https://www.tripadvisor.com.sg/Profile/shaniPiccolotti,shaniP,"San Francisco, California",,18,7,2020-01-16 18:35:21.955167
https://www.tripadvisor.com.sg/Profile/Mverpoorter11,Mirjam,"Shanghai, China",,10,6,2020-01-16 18:35:22.372363
https://www.tripadvisor.com.sg/Profile/MA66Hunter,MA66Hunter,Hunter,,48,17,2020-01-16 18:35:25.678494
https://www.tripadvisor.com.sg/Profile/xAZAMBx,xAZAMBx,"Kuala Lumpur, Malaysia",,70,36,2020-01-16 18:35:26.092070
https://www.tripadvisor.com.sg/Profile/angelasH6448OM,Angela S,"Bristol, United Kingdom",,295,126,2020-01-16 18:35:26.531137
https://www.tripadvisor.com.sg/Profile/paulinea273,paulineandrews,"Birmingham, United Kingdom",,94,88,2020-01-16 18:35:26.941925
https://www.tripadvisor.com.sg/Profile/LivingLifeFullest,Anne Marie @ TYC,"Las Pinas, Philippines",,12,3,2020-01-16 18:35:27.363855
