REVIEWER_URL,REVIEWER_NAME,RAW_HOME_LOCATION,CLEANED_HOME_LOCATION,NUMBER_OF_CONTRIBUTIONS,HELPFUL_VOTES,REVIEWER_UPDATED_TIME
https://www.tripadvisor.com.sg/Profile/AirFuss,AirFuss,"Singapore, Singapore",,582,11,2020-01-16 11:46:01.982210
https://www.tripadvisor.com.sg/Profile/IanK2174,Ian K,,,7,1,2020-01-16 11:46:02.453269
https://www.tripadvisor.com.sg/Profile/danae_mily,danae_mily,"Athens, Greece1,",,402,910,2020-01-16 11:46:02.768172
https://www.tripadvisor.com.sg/Profile/minnesotans4,minnesotans4,"Saint Paul, Minnesota2,",,442,873,2020-01-16 11:46:03.080029
https://www.tripadvisor.com.sg/Profile/Kevin_Mumbai,Kevin_Mumbai,"Navi Mumbai, India",,215,44,2020-01-16 11:46:03.409645
https://www.tripadvisor.com.sg/Profile/richardhayes2,richardhayes2,"Bodmin, United Kingdom",,16,7,2020-01-16 11:46:06.404638
https://www.tripadvisor.com.sg/Profile/sdsimmons1,sdsimmons1,"Sarasota, Florida",,68,11,2020-01-16 11:46:06.709592
https://www.tripadvisor.com.sg/Profile/JoeGoGoGo,JoeGoGoGo,"Rufford, United Kingdom",,65,18,2020-01-16 11:46:07.039422
https://www.tripadvisor.com.sg/Profile/paulchickensoup,Mr Chan,"Hong Kong, China",,12,,2020-01-16 11:46:07.348416
https://www.tripadvisor.com.sg/Profile/MinnFamily070,MinnFamily070,"Darwin, Minnesota",,87,31,2020-01-16 11:46:07.677176
https://www.tripadvisor.com.sg/Profile/andy19283,Andy,"Birmingham, United Kingdom",,3,,2020-01-16 11:46:18.098918
https://www.tripadvisor.com.sg/Profile/Serial_Traveller,Serial_Traveller,London,,185,433,2020-01-16 11:46:18.451789
https://www.tripadvisor.com.sg/Profile/colsktm,CP_NZ,"Palmerston North, New Zealand",,9,4,2020-01-16 11:46:18.819978
https://www.tripadvisor.com.sg/Profile/shaniPiccolotti,shaniP,"San Francisco, California",,18,7,2020-01-16 11:46:19.280157
https://www.tripadvisor.com.sg/Profile/Mverpoorter11,Mirjam,"Shanghai, China",,10,5,2020-01-16 11:46:19.644493
https://www.tripadvisor.com.sg/Profile/MA66Hunter,MA66Hunter,Hunter,,48,17,2020-01-16 11:46:22.872976
https://www.tripadvisor.com.sg/Profile/xAZAMBx,xAZAMBx,"Kuala Lumpur, Malaysia",,70,36,2020-01-16 11:46:23.192335
https://www.tripadvisor.com.sg/Profile/angelasH6448OM,Angela S,"Bristol, United Kingdom",,295,126,2020-01-16 11:46:23.535753
https://www.tripadvisor.com.sg/Profile/paulinea273,paulineandrews,"Birmingham, United Kingdom",,94,88,2020-01-16 11:46:23.861791
https://www.tripadvisor.com.sg/Profile/LivingLifeFullest,Anne Marie @ TYC,"Las Pinas, Philippines",,12,3,2020-01-16 11:46:24.178433
